----------------------
Name : sa
index5  runTime10  bestFit8  bestCov8  bestDis10
05.0  9010.0  0.7375002.6  0.7375002.6  525.6108388.2
15.0  6510.0  0.7625002.6  0.7625002.6  770.2677808.2
25.0  6410.0  0.7950002.6  0.7950002.6  624.9273898.2
35.0  6610.0  0.7775002.6  0.7775002.6  518.1458588.2
45.0  6610.0  0.8025002.6  0.8025002.6  784.8135058.2
55.0  6410.0  0.7850002.6  0.7850002.6  422.6673068.2
65.0  6610.0  0.8075002.6  0.8075002.6  593.2370098.2
75.0  6410.0  0.7700002.6  0.7700002.6  652.0904818.2
85.0  6510.0  0.7800002.6  0.7800002.6  265.9796008.2
95.0  6510.0  0.8275002.6  0.8275002.6  396.4581678.2
----------------------
Name : sa_1
index5  runTime10  bestFit8  bestCov8  bestDis10
05.0  10210.0  0.8175002.6  0.8175002.6  827.0964548.2
15.0  10110.0  0.8075002.6  0.8075002.6  464.8942418.2
25.0  10110.0  0.8075002.6  0.8075002.6  467.0046938.2
35.0  10210.0  0.7925002.6  0.7925002.6  586.5057038.2
45.0  10110.0  0.8325002.6  0.8325002.6  498.4039408.2
55.0  10110.0  0.8225002.6  0.8225002.6  362.9458408.2
65.0  9910.0  0.8075002.6  0.8075002.6  752.7936228.2
75.0  10110.0  0.7600002.6  0.7600002.6  641.4759568.2
85.0  10110.0  0.8450002.6  0.8450002.6  532.7220318.2
95.0  10110.0  0.7825002.6  0.7825002.6  606.6686428.2
